"","genbank_accession","organism","uid","loc","species_name","processid","lat","lon"
"111","KT626070","Macquarie perch","984698112","MP_AC4|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"112","KT626071","Macquarie perch","984698113","MP_AC5|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"113","KT626072","Macquarie perch","984698114","MP_AC6|Australia: Adjungbilly Creek|35.021221 S 148.280492 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"114","KT626073","Macquarie perch","984698115","MP_AC7|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"115","KT626074","Macquarie perch","984698116","MP_AC8|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"116","KT626075","Macquarie perch","984698117","MP_AC9|Australia: Adjungbilly Creek|35.05502 S 148.31598 E|09-May-2014|Tim McGarry, Dean Gilligan",NA,NA,NA,NA
"117","KT626076","Macquarie perch","984698118","MP_B2|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"118","KT626077","Macquarie perch","984698119","MP_B23|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"119","KT626078","Macquarie perch","984698120","MP_B24|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"120","KT626079","Macquarie perch","984698121","MP_B25|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"121","KT626080","Macquarie perch","984698122","MP_B26|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"122","KT626081","Macquarie perch","984698123","MP_B27|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"123","KT626082","Macquarie perch","984698124","MP_B28|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"124","KT626083","Macquarie perch","984698125","MP_B29|Australia: Hollands Creek|36.738884 S 146.105461 E|09-Jan-2012|Scott Raymond, Joanne Kearns",NA,NA,NA,NA
"125","KT626084","Macquarie perch","984698126","MP_B3|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"126","KT626085","Macquarie perch","984698127","MP_B4|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"127","KT626086","Macquarie perch","984698128","MP_B5|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"128","KT626087","Macquarie perch","984698129","MP_B6|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"129","KT626088","Macquarie perch","984698130","MP_B7|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"130","KT626089","Macquarie perch","984698131","MP_B8|Australia: Hollands Creek|36.735342 S 146.100558 E|27-Nov-2007|Alasdair McDonald, Joanne Kearns",NA,NA,NA,NA
"131","KT626090","Macquarie perch","984698132","MP_C103|Australia: Dartmouth Reservoir|36.60415 S 147.54091 E|18-Feb-2011|Zeb Tonkin",NA,NA,NA,NA
"132","KT626091","Macquarie perch","984698133","MP_C110|Australia: Dartmouth Reservoir|36.60415 S 147.54091 E|18-Feb-2011|Zeb Tonkin",NA,NA,NA,NA
"133","KT626092","Macquarie perch","984698134","MP_C117|Australia: Dartmouth Reservoir|36.777541 S 147.663165 E|27-Mar-2012|Zeb Tonkin",NA,NA,NA,NA
"134","KT626093","Macquarie perch","984698135","MP_C118|Australia: Dartmouth Reservoir|36.777541 S 147.663165 E|27-Mar-2012|Zeb Tonkin",NA,NA,NA,NA
